,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,3795934,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,25.0,2009.0,3,19,22
1,3795965,0460,BATTERY,SIMPLE,ALLEY,False,False,16.0,2009.0,8,3,15
2,3795974,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,11.0,2009.0,9,29,20
3,3796013,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,4.0,2009.0,3,6,9
4,3796035,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,8.0,2009.0,11,4,11
5,3795999,0460,BATTERY,SIMPLE,SIDEWALK,False,False,8.0,2009.0,6,4,19
6,3795985,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,5.0,2009.0,11,5,21
7,3795969,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,False,False,2.0,2009.0,6,2,0
8,3795995,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,22.0,2009.0,8,14,16
9,3795990,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,4.0,2009.0,5,8,22
10,3796032,0810,THEFT,OVER $500,SIDEWALK,False,False,7.0,2009.0,5,11,15
11,3796019,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True,17.0,2009.0,6,10,21
12,3796015,0810,THEFT,OVER $500,STREET,False,False,25.0,2009.0,3,9,11
13,3795964,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,7.0,2009.0,1,2,14
14,3801234,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,18.0,2009.0,11,14,16
15,3796045,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,7.0,2009.0,7,17,0
16,3796001,0460,BATTERY,SIMPLE,STREET,False,False,2.0,2009.0,6,17,17
17,3795993,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1.0,2009.0,8,13,18
18,3796064,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,6.0,2009.0,11,27,0
19,3795997,0810,THEFT,OVER $500,STREET,False,False,9.0,2009.0,10,14,15
20,3796021,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,3.0,2009.0,3,8,23
21,3795989,0820,THEFT,$500 AND UNDER,STREET,False,False,19.0,2009.0,7,1,0
22,3795992,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,7.0,2009.0,5,30,16
23,3801295,0460,BATTERY,SIMPLE,SIDEWALK,False,False,15.0,2009.0,8,9,18
24,3795970,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,True,False,7.0,2009.0,8,18,9
