,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,21,0890,THEFT,FROM BUILDING,RESTAURANT,False,False,1.0,2012.0,4,20,16
1,1089,0870,THEFT,POCKET-PICKING,CTA TRAIN,False,False,1.0,2009.0,4,6,19
2,786,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1.0,2010.0,6,4,15
3,252,0810,THEFT,OVER $500,STREET,False,False,1.0,2001.0,7,9,18
4,31,0810,THEFT,OVER $500,SIDEWALK,False,False,1.0,2003.0,6,22,12
5,306,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,False,False,1.0,2008.0,6,4,14
6,880,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,True,False,1.0,2006.0,1,27,20
7,7274,0820,THEFT,$500 AND UNDER,STREET,False,False,1.0,2013.0,9,17,18
8,862,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,1.0,2006.0,11,12,7
9,2912,0560,ASSAULT,SIMPLE,STREET,False,False,1.0,2010.0,6,17,13
10,43,0820,THEFT,$500 AND UNDER,OTHER,False,False,1.0,2001.0,11,4,15
11,104,0460,BATTERY,SIMPLE,STREET,True,False,1.0,2006.0,9,4,17
12,7153,0820,THEFT,$500 AND UNDER,SIDEWALK,False,False,1.0,2014.0,9,2,18
13,7136,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,True,False,1.0,2009.0,8,13,19
14,1379,0820,THEFT,$500 AND UNDER,STREET,False,False,1.0,2012.0,12,30,13
15,6984,1330,CRIMINAL TRESPASS,TO LAND,CTA PLATFORM,True,False,1.0,2003.0,8,28,9
16,2399,0820,THEFT,$500 AND UNDER,DEPARTMENT STORE,True,False,1.0,2001.0,1,24,13
17,493,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1.0,2006.0,12,15,19
18,7487,0460,BATTERY,SIMPLE,STREET,False,False,1.0,2016.0,10,20,8
19,280,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,False,False,1.0,2008.0,5,23,18
20,14703,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,1.0,2008.0,10,16,18
21,46245,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1.0,2008.0,2,13,14
22,2892,0810,THEFT,OVER $500,STREET,False,False,1.0,2016.0,8,21,12
23,8996,1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),True,False,1.0,2002.0,6,23,12
24,1372,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,1.0,2001.0,5,11,16
