,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,6484711,1330,CRIMINAL TRESPASS,TO LAND,STREET,False,False,19.0,2016.0,10,13,10
1,6484570,0460,BATTERY,SIMPLE,STREET,False,False,19.0,2016.0,5,14,4
2,6484577,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,False,False,12.0,2016.0,11,8,19
3,6484660,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,5.0,2016.0,11,23,18
4,6484587,0560,ASSAULT,SIMPLE,APARTMENT,False,False,2.0,2016.0,1,21,15
5,6484567,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,True,True,10.0,2016.0,5,7,23
6,6484605,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,3.0,2016.0,5,18,1
7,6484576,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,7.0,2016.0,5,16,11
8,6484578,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,True,True,22.0,2016.0,4,19,11
9,6484662,0890,THEFT,FROM BUILDING,APARTMENT,False,False,18.0,2016.0,3,17,12
10,6484613,0460,BATTERY,SIMPLE,SIDEWALK,False,False,4.0,2016.0,6,3,15
11,6484571,0820,THEFT,$500 AND UNDER,STREET,False,False,6.0,2016.0,7,15,17
12,6484718,0810,THEFT,OVER $500,STREET,False,False,11.0,2016.0,12,29,17
13,6484728,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,11.0,2016.0,1,28,19
14,6484767,0460,BATTERY,SIMPLE,STREET,False,False,11.0,2016.0,3,29,8
15,6484656,0460,BATTERY,SIMPLE,RESIDENCE,False,False,22.0,2016.0,3,26,3
16,6484584,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,9.0,2016.0,6,3,22
17,6484832,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,1.0,2016.0,2,28,4
18,6484622,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,8.0,2016.0,9,28,0
19,6484595,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,1.0,2016.0,5,8,11
20,6484623,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1.0,2016.0,9,26,17
21,6484586,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,3.0,2016.0,6,6,23
22,6484580,0820,THEFT,$500 AND UNDER,STREET,False,False,14.0,2016.0,8,27,23
23,6484630,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,18.0,2016.0,10,4,12
24,6484585,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,11.0,2016.0,11,26,0
