,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,6487560,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,5.0,2012.0,1,5,9
1,6484764,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,25.0,2012.0,2,3,0
2,6502717,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,15.0,2012.0,11,30,11
3,6487588,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,7.0,2012.0,4,29,9
4,6499001,0560,ASSAULT,SIMPLE,SIDEWALK,False,False,11.0,2012.0,12,29,2
5,6493434,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,22.0,2012.0,10,25,23
6,6509491,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,25.0,2012.0,7,19,19
7,6507991,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,9.0,2012.0,3,7,8
8,6504205,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,11.0,2012.0,4,6,20
9,6509080,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,5.0,2012.0,10,10,22
10,6487649,0810,THEFT,OVER $500,STREET,False,False,4.0,2012.0,5,16,9
11,6508069,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,False,False,3.0,2012.0,9,18,14
12,6496965,0820,THEFT,$500 AND UNDER,OTHER,False,False,1.0,2012.0,10,2,14
13,6496964,0460,BATTERY,SIMPLE,RESIDENCE,True,False,3.0,2012.0,12,23,18
14,6487399,0820,THEFT,$500 AND UNDER,STREET,False,False,3.0,2012.0,4,28,9
15,6561842,1330,CRIMINAL TRESPASS,TO LAND,SIDEWALK,True,False,3.0,2012.0,11,28,19
16,6508219,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,3.0,2012.0,1,12,5
17,6512550,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,18.0,2012.0,4,23,17
18,6487658,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,7.0,2012.0,5,1,23
19,6507946,0460,BATTERY,SIMPLE,STREET,False,False,9.0,2012.0,2,5,15
20,6487656,0820,THEFT,$500 AND UNDER,STREET,False,False,16.0,2012.0,8,14,14
21,6507977,0460,BATTERY,SIMPLE,STREET,True,False,3.0,2012.0,7,26,22
22,6511071,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1.0,2012.0,4,9,8
23,6487408,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,7.0,2012.0,8,15,5
24,6487657,0810,THEFT,OVER $500,APARTMENT,False,False,9.0,2012.0,6,22,17
