,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,3796196,0460,BATTERY,SIMPLE,RESIDENCE,False,False,25.0,2010.0,4,4,23
1,3796199,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,8.0,2010.0,5,13,10
2,3797156,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,3.0,2010.0,8,1,0
3,3797222,0820,THEFT,$500 AND UNDER,STREET,False,False,19.0,2010.0,3,8,17
4,3805354,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,11.0,2010.0,5,10,22
