,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,1924301,0460,BATTERY,SIMPLE,SIDEWALK,False,False,25.0,2005.0,12,27,19
1,1925730,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,8.0,2005.0,10,23,13
2,1924956,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,5.0,2005.0,12,27,11
3,1925151,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2.0,2005.0,7,15,18
4,1923887,2027,NARCOTICS,POSS: CRACK,STREET,True,False,11.0,2005.0,5,13,17
5,1924059,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,4.0,2005.0,4,19,12
6,1923886,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,4.0,2005.0,6,14,22
7,1925889,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,False,9.0,2005.0,6,3,18
8,1923654,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,2.0,2005.0,8,20,8
9,1926794,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,11.0,2005.0,8,3,18
10,1923876,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,18.0,2005.0,4,1,12
11,1923976,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,7.0,2005.0,4,1,22
12,1927818,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,11.0,2005.0,1,25,20
13,1929224,031A,ROBBERY,ARMED: HANDGUN,STREET,False,False,8.0,2005.0,5,8,10
14,1923992,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,1.0,2005.0,5,10,11
15,1925001,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,7.0,2005.0,10,11,16
16,1925339,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,8.0,2005.0,8,27,22
17,1925411,0810,THEFT,OVER $500,OTHER,False,False,6.0,2005.0,1,31,13
18,1958482,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,False,24.0,2005.0,7,4,22
19,1925116,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,True,False,11.0,2005.0,5,15,21
20,1929501,0810,THEFT,OVER $500,STREET,False,False,12.0,2005.0,4,11,22
21,1946384,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,12.0,2005.0,12,27,7
22,1927325,0820,THEFT,$500 AND UNDER,STREET,False,False,10.0,2005.0,7,29,0
23,1928921,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,True,False,19.0,2005.0,4,29,19
24,1932144,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,True,False,5.0,2005.0,8,7,15
