,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,1923540,031A,ROBBERY,ARMED: HANDGUN,STREET,False,False,3.0,2006.0,7,19,7
1,1923558,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,8.0,2006.0,3,9,12
2,1923525,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,False,7.0,2006.0,10,4,22
3,1923518,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,11.0,2006.0,9,29,21
4,1923536,0460,BATTERY,SIMPLE,STREET,False,False,8.0,2006.0,10,13,17
5,1923521,0820,THEFT,$500 AND UNDER,STREET,False,False,12.0,2006.0,7,26,0
6,1923613,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1.0,2006.0,12,28,19
7,1923515,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,15.0,2006.0,4,1,15
8,1923541,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,7.0,2006.0,11,4,11
9,1923516,0560,ASSAULT,SIMPLE,STREET,False,False,8.0,2006.0,5,8,10
10,1923524,0810,THEFT,OVER $500,STREET,False,False,1.0,2006.0,6,2,12
11,1923560,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,8.0,2006.0,9,15,0
12,1923517,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,False,19.0,2006.0,4,6,8
13,1923618,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,6.0,2006.0,8,20,22
14,1923519,0560,ASSAULT,SIMPLE,STREET,True,False,10.0,2006.0,3,1,16
15,1923602,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,True,False,11.0,2006.0,12,20,5
16,1923537,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,18.0,2006.0,8,12,9
17,1923592,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,4.0,2006.0,11,11,22
18,1923727,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,SIDEWALK,True,False,14.0,2006.0,5,6,2
19,1923523,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True,14.0,2006.0,4,24,2
20,1925172,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,APARTMENT,True,False,12.0,2006.0,7,19,19
21,1924787,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,False,False,14.0,2006.0,8,25,8
22,1923514,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,7.0,2006.0,10,2,18
23,1923798,0460,BATTERY,SIMPLE,SIDEWALK,False,False,4.0,2006.0,6,12,23
24,1923607,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,False,15.0,2006.0,1,26,19
