,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,3795857,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,25.0,2008.0,7,29,20
1,3795859,0820,THEFT,$500 AND UNDER,STREET,False,False,4.0,2008.0,6,9,0
2,3795864,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,7.0,2008.0,4,11,22
3,3795860,0810,THEFT,OVER $500,STREET,False,False,12.0,2008.0,10,14,18
4,3795918,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,12.0,2008.0,8,5,10
5,3796209,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,5.0,2008.0,7,1,0
6,3795868,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,6.0,2008.0,2,10,9
7,3795869,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,False,False,14.0,2008.0,9,13,9
8,3795861,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,10.0,2008.0,5,8,12
9,3795894,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,24.0,2008.0,11,30,2
10,3795941,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1.0,2008.0,2,11,14
11,3795938,0460,BATTERY,SIMPLE,STREET,False,False,19.0,2008.0,8,10,15
12,3795878,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,False,12.0,2008.0,9,8,19
13,3795937,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,6.0,2008.0,12,4,22
14,3796239,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,3.0,2008.0,1,1,18
15,3795933,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,8.0,2008.0,6,6,21
16,3796290,0820,THEFT,$500 AND UNDER,SIDEWALK,False,False,9.0,2008.0,7,16,11
17,3795940,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,False,11.0,2008.0,12,8,14
18,3796198,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,18.0,2008.0,1,1,17
19,3795873,0460,BATTERY,SIMPLE,APARTMENT,True,False,11.0,2008.0,3,15,13
20,3795863,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,10.0,2008.0,3,14,21
21,3796280,0460,BATTERY,SIMPLE,RESIDENCE,False,False,12.0,2008.0,8,15,11
22,3796244,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,8.0,2008.0,5,8,15
23,3795858,2027,NARCOTICS,POSS: CRACK,STREET,True,False,2.0,2008.0,7,2,14
24,3796283,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,False,5.0,2008.0,3,2,21
