,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,6486215,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,11.0,2014.0,3,21,19
1,6485301,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,25.0,2014.0,5,29,22
2,6487674,0460,BATTERY,SIMPLE,SIDEWALK,False,False,25.0,2014.0,6,9,0
3,6487681,0560,ASSAULT,SIMPLE,APARTMENT,False,False,6.0,2014.0,2,27,12
4,6487671,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,2.0,2014.0,3,7,18
5,6484791,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,9.0,2014.0,2,14,9
6,6485299,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,8.0,2014.0,12,9,17
7,6487676,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,True,False,9.0,2014.0,6,14,23
8,6486214,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,False,False,11.0,2014.0,8,9,12
9,6509074,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,True,False,12.0,2014.0,3,27,21
10,6485595,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,4.0,2014.0,7,4,14
11,6486564,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,14.0,2014.0,11,28,15
12,6487679,0820,THEFT,$500 AND UNDER,STREET,False,False,12.0,2014.0,10,5,1
13,6491087,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,6.0,2014.0,3,28,22
14,6508763,0460,BATTERY,SIMPLE,STREET,False,False,9.0,2014.0,3,31,21
15,6487673,0460,BATTERY,SIMPLE,SIDEWALK,True,False,10.0,2014.0,6,18,14
16,6485643,0810,THEFT,OVER $500,STREET,False,False,18.0,2014.0,7,19,12
17,6503326,0820,THEFT,$500 AND UNDER,APARTMENT,False,True,11.0,2014.0,6,9,8
18,6509015,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,7.0,2014.0,2,22,9
19,6485587,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,1.0,2014.0,9,21,13
20,6487680,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False,2.0,2014.0,4,19,22
21,6496302,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,OTHER,True,False,12.0,2014.0,7,4,2
22,6509243,1330,CRIMINAL TRESPASS,TO LAND,STREET,True,False,1.0,2014.0,7,19,10
23,6509506,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1.0,2014.0,5,7,17
24,6486573,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,3.0,2014.0,11,1,12
