,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,6491939,0890,THEFT,FROM BUILDING,OTHER,False,False,2.0,2013.0,9,1,9
1,6487615,0820,THEFT,$500 AND UNDER,SIDEWALK,False,False,8.0,2013.0,10,23,14
2,6487667,1330,CRIMINAL TRESPASS,TO LAND,SIDEWALK,True,False,11.0,2013.0,9,3,20
3,6487663,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,4.0,2013.0,9,27,19
4,6485594,0890,THEFT,FROM BUILDING,APARTMENT,False,False,12.0,2013.0,6,18,12
5,6490437,0460,BATTERY,SIMPLE,STREET,True,False,9.0,2013.0,11,9,19
6,6508230,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,11.0,2013.0,3,19,12
7,6484794,0460,BATTERY,SIMPLE,OTHER,True,False,14.0,2013.0,5,13,11
8,6486523,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,11.0,2013.0,3,2,8
9,6495628,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1.0,2013.0,7,23,16
10,6492659,0810,THEFT,OVER $500,STREET,False,False,18.0,2013.0,11,14,12
11,6485306,0820,THEFT,$500 AND UNDER,STREET,False,False,9.0,2013.0,3,10,11
12,6485606,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,5.0,2013.0,9,7,14
13,6496868,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,4.0,2013.0,1,12,0
14,6487670,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,8.0,2013.0,3,11,20
15,6485642,031A,ROBBERY,ARMED: HANDGUN,STREET,False,False,11.0,2013.0,7,31,0
16,6491377,0560,ASSAULT,SIMPLE,APARTMENT,True,True,9.0,2013.0,4,21,17
17,6508258,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,4.0,2013.0,12,4,16
18,6508358,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,18.0,2013.0,4,24,15
19,6508132,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,8.0,2013.0,1,23,17
20,6498363,0810,THEFT,OVER $500,RESIDENCE,False,False,11.0,2013.0,10,4,15
21,6508356,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,True,False,2.0,2013.0,8,22,20
22,6508146,0810,THEFT,OVER $500,STREET,False,False,3.0,2013.0,9,3,17
23,6508131,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,10.0,2013.0,8,4,16
24,6508135,0460,BATTERY,SIMPLE,SIDEWALK,False,False,7.0,2013.0,7,16,1
