,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,3797157,0460,BATTERY,SIMPLE,STREET,False,False,15.0,2010.0,4,26,10
1,3796196,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,10.0,2010.0,3,7,1
2,3805369,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,15.0,2010.0,5,9,16
3,3796199,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,3.0,2010.0,9,9,11
4,3805329,1330,CRIMINAL TRESPASS,TO LAND,STREET,True,False,14.0,2010.0,10,13,12
5,3805294,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,False,False,6.0,2010.0,8,29,12
6,3797160,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,11.0,2010.0,6,15,22
7,3805333,0810,THEFT,OVER $500,STREET,False,False,18.0,2010.0,4,28,12
8,3797156,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,9.0,2010.0,3,19,18
9,3805315,0460,BATTERY,SIMPLE,APARTMENT,False,False,5.0,2010.0,4,29,2
10,3805259,0820,THEFT,$500 AND UNDER,STREET,False,False,12.0,2010.0,8,5,13
11,3805365,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,11.0,2010.0,2,14,18
12,3797167,0560,ASSAULT,SIMPLE,STREET,False,False,9.0,2010.0,7,18,15
13,3797155,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,8.0,2010.0,6,12,20
14,3805507,0560,ASSAULT,SIMPLE,RESIDENCE,True,False,22.0,2010.0,7,28,16
15,3805362,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,15.0,2010.0,3,27,21
16,3805335,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,4.0,2010.0,6,9,22
17,3797386,0810,THEFT,OVER $500,APARTMENT,False,False,7.0,2010.0,10,13,9
18,3797168,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,8.0,2010.0,9,20,7
19,3797477,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,16.0,2010.0,5,14,16
20,3805310,0460,BATTERY,SIMPLE,SIDEWALK,False,False,4.0,2010.0,7,10,12
21,3797162,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,11.0,2010.0,7,10,21
22,3805494,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,1.0,2010.0,8,1,0
23,3805596,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,4.0,2010.0,6,25,8
24,3805354,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,True,False,25.0,2010.0,9,29,20
