,index,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,Year,Month,Day,Hour
0,39,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,19.0,2003.0,7,2,22
1,1121,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,25.0,2003.0,11,22,15
2,529,0820,THEFT,$500 AND UNDER,STREET,False,False,9.0,2003.0,9,28,19
3,40,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,5.0,2003.0,8,24,18
4,145,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,10.0,2003.0,10,11,0
5,1,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,20.0,2003.0,7,25,1
6,125,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,True,False,8.0,2003.0,1,25,0
7,101,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,9.0,2003.0,4,1,20
8,22,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,8.0,2003.0,3,11,21
9,7067,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,11.0,2003.0,1,4,21
10,7,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,24.0,2003.0,11,15,12
11,4,0810,THEFT,OVER $500,STREET,False,False,12.0,2003.0,5,6,10
12,2469,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,False,8.0,2003.0,5,31,14
13,1130,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,8.0,2003.0,3,17,7
14,122,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,3.0,2003.0,9,8,22
15,85,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,19.0,2003.0,10,16,14
16,9,0810,THEFT,OVER $500,RESIDENCE,False,False,11.0,2003.0,1,28,9
17,683,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,15.0,2003.0,2,8,22
18,62,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,7.0,2003.0,4,21,9
19,425,0460,BATTERY,SIMPLE,STREET,False,False,6.0,2003.0,3,7,15
20,420,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,18.0,2003.0,3,20,12
21,378,0820,THEFT,$500 AND UNDER,STREET,False,False,10.0,2003.0,1,23,17
22,153,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,8.0,2003.0,3,16,12
23,6879,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,2.0,2003.0,8,31,23
24,591,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,7.0,2003.0,6,8,3
